GRUPO EN NIIF,SUPERVISOR_SUPERFINANCIERA,SUPERVISOR_SUPERSALUD,SUPERVISOR_SUPERSERVICIOS,SUPERVISOR_SUPERSOCIEDADES,SUPERVISOR_SUPERVIGILANCIA,REGION_Antioquia,REGION_Bogotá - Cundinamarca,REGION_Costa Atlantica,REGION_Costa Pacífica,REGION_Otros,MACROSECTOR_AGROPECUARIO,MACROSECTOR_COMERCIO,MACROSECTOR_CONSTRUCCION,MACROSECTOR_MANUFACTURA,MACROSECTOR_MINERO-HIDROCARBUROS,MACROSECTOR_SERVICIOS,VARIACION ACTIVOS,PROMEDIO ACTIVOS,VARIACION GANANCIA (PERDIDA),GANANCIA (PERDIDA) PROMEDIO
1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0.09723087407142661,6501766917.022676,0.28335469172718214,2485580000.0
1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0.06543461333323851,6261579030.0,0.39182679673195736,-113540030.0
1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,-0.032783654238674236,7923754565.0,0.476831199314141,641623890.0
1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,-0.039539756651455996,3464669975.0,-0.9887930885251975,-111572455.0
2,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,-0.12228918505005529,392988115.0,3.3412036854358207,10828970.0
1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,-0.05257619641473636,4456724545.0,-0.1353565955220698,1398368605.0
1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,-0.16004325624616839,3602536195.0,1.2289882719895844,46378120.0
1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0.28070647492379186,1079321555.0,0.15232069871959736,101721485.0
1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,-0.020833592769581754,844721770.0,-5.944257766732903,12237040.0
1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0.29253552549402156,9705869965.0,0.2535738606013649,373015230.0
1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0.0714980643893323,4103472070.0,0.7047281398852371,173125510.0
1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,-0.0008564043165534724,8083091610.0,-6.653298418171096,-76268515.0
1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0.1241254676466409,1814183785.0,-1.0561727933271166,-172591150.0
1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0.09723087407142661,6501766917.022676,0.1973961165510398,32810132585.0
1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0.09723087407142661,6501766917.022676,-17.684797215757655,-3771775260.0
1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0.025204167400669917,5441964830.0,-0.32778255979192916,155553295.0
2,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1.0361584777666193,938503835.0,1.376440226820082,49579260.0
2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0.22631611975845906,403371435.0,2.0076505536967186,16553280.0
1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,-0.08505669456541001,3926249890.0,0.19357767441029886,167060035.0
2,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1.0804921665837894,3125693830.0,-1.52422833954499,3306280.0
1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.08739882909220593,3442557520.0,0.1476944119864782,214064235.0
1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0.35872696069267107,894911175.0,23.439031240190978,7699250.0
2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0.17646531521243222,346956800.0,-2.433636800879483,-631115.0
