GRUPO EN NIIF,SUPERVISOR_SUPERFINANCIERA,SUPERVISOR_SUPERSALUD,SUPERVISOR_SUPERSERVICIOS,SUPERVISOR_SUPERSOCIEDADES,SUPERVISOR_SUPERVIGILANCIA,REGION_Antioquia,REGION_Bogotá - Cundinamarca,REGION_Costa Atlantica,REGION_Costa Pacífica,REGION_Otros,MACROSECTOR_AGROPECUARIO,MACROSECTOR_COMERCIO,MACROSECTOR_CONSTRUCCION,MACROSECTOR_MANUFACTURA,MACROSECTOR_MINERO-HIDROCARBUROS,MACROSECTOR_SERVICIOS,VARIACION ACTIVOS,GANANCIA (PERDIDA) PROMEDIO,kmean,cluster
1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,-0.0684656401877266,4702200000.0,3,4
1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0.0122087421775208,316209490.0,0,3
1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,-0.0577123510783773,192602290.0,0,3
1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0.0182127268791401,37801205.0,0,3
1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0.3210824649043935,86920445.0,0,3
1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,-0.0086882310826745,-139264470.0,0,3
1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,-0.0875129158652416,-125398210.0,0,3
2,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0.1054585206051604,39050055.0,0,3
1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0.1230824104167931,-59316570.0,0,3
1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,-0.011133979469232,147665125.0,0,3
2,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0.4372362789584742,73896125.0,0,3
2,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0.0023546955751984,-1566815.0,0,3
1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0.2583536954759255,16633530.0,0,3
1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0.0011249217024882,74456350.0,0,3
1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0.0972308740714266,14859315000.0,1,1
1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0.0507247876227509,67508190.0,0,3
2,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0.0689339305782977,17444070.0,0,3
1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0.0486324613863284,59988740.0,0,3
1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0.2001424821971403,159252670.0,0,3
2,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0.1204352896312962,19280125.0,0,3
2,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0.1140214767745431,13880000.0,0,3
1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0.2112770642645025,329892490.0,0,3
1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0.0504717204345337,12471835.0,0,3
1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,-0.434615309291395,-3838880.0,0,3
1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,-0.0095892246185736,154874890.0,0,3
1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0.0577787553287962,-5014385.0,0,3
1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0.014875166608723,-65349350.0,0,3
1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0.0181284988760045,3202686675.5,3,0
1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0.2335013695345218,63196295.0,0,3
1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0.0660131541022157,-39797370.0,0,3
1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0.5734969356830621,16113260.0,0,3
1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0.098675183622069,17479240.0,0,3
1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0.2421859670074869,-154396900.0,0,3
1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0.1421930800431204,154719355.0,0,3
